name,brand,url,price,original_price,rating_average,discount,discount_rate,review_count
Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,"""OPPO""",https://tiki.vn/product-p205750556.html?spid=263117367,3600000,4990000,5.0,1390000,28,153
Điện Thoại Oppo Reno8 5G (8GB/256GB) - Hàng Chính Hãng,"""OPPO""",https://tiki.vn/product-p194487223.html?spid=194487227,8990000,9990000,4.7,1000000,10,18
Combo Máy đọc sách All New Kindle Paperwhite 5 (11th) KIDS EDITTION (KHÔNG QUẢNG CÁO) và Bao da - Hàng chính hãng,"""Kindle""",https://tiki.vn/product-p271530789.html?spid=271130591,4064300,4190000,5.0,125700,3,1
Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,"""Nokia""",https://tiki.vn/product-p120295859.html?spid=120295861,1450000,1990000,4.7,540000,27,194
Điện thoại Samsung Galaxy A05 (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,"""Samsung""",https://tiki.vn/product-p273258830.html?spid=273258976,2590000,3050000,5.0,460000,15,7
Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p273348837.html?spid=273349889,2890000,3290000,5.0,400000,12,7
Điện thoại Samsung Galaxy M14 5G (6GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,"""Samsung""",https://tiki.vn/product-p270978486.html?spid=270978503,3990000,5490000,5.0,1500000,27,10
Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,"""Kindle""",https://tiki.vn/product-p125182567.html?spid=217275932,3850000,3850000,5.0,0,0,371
Apple iPhone 15,"""Apple""",https://tiki.vn/product-p271966786.html?spid=271966796,20990000,21490000,4.8,500000,2,46
Máy đọc sách Kindle Paperwhite 5 (8GB) - Hàng chính hãng,"""Kindle""",https://tiki.vn/product-p179547641.html?spid=179547642,3400000,4990000,4.8,1590000,32,112
Điện thoại Realme C55 (6GB/128GB) - Hàng chính hãng,"""Realme""",https://tiki.vn/product-p247823537.html?spid=247823541,3550000,4790000,4.7,1240000,26,49
Điện Thoại Nokia 110 4G Pro TA-1559 - Hàng Chính Hãng,"""Nokia""",https://tiki.vn/product-p270471101.html?spid=270471105,690000,710000,4.2,20000,3,15
Điện Thoại Oppo A17k (3GB/64GB) - Hàng Chính Hãng,"""OPPO""",https://tiki.vn/product-p203853390.html?spid=203853394,2680000,3290000,4.7,610000,19,45
Apple iPhone 15 Plus,"""Apple""",https://tiki.vn/product-p271967379.html?spid=271967579,23990000,25990000,5.0,2000000,8,16
"Apple iPad Pro 11-inch M2 Wi-Fi, 2022","""Apple""",https://tiki.vn/product-p205815593.html?spid=205815595,19990000,23990000,5.0,4000000,17,92
Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,"""Panasonic""",https://tiki.vn/product-p163914808.html?spid=163914812,300000,300000,5.0,0,0,123
Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p271046571.html?spid=271046584,4150000,4530000,5.0,380000,8,21
Apple iPhone 11,"""Apple""",https://tiki.vn/product-p184036446.html?spid=32033732,11850000,15999000,4.8,4149000,26,2980
Điện Thoại Nokia 105 4G Pro TA-1538 - Hàng Chính Hãng,"""Nokia""",https://tiki.vn/product-p270471106.html?spid=270471110,650000,680000,4.6,30000,4,24
Điện thoại Xiaomi Redmi 10 2022 (4GB/128GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p272151221.html?spid=272151252,2750000,3990000,4.3,1240000,31,7
Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,"""Vtel""",https://tiki.vn/product-p197907038.html?spid=197907042,309000,399000,4.3,90000,23,29
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,"""Samsung""",https://tiki.vn/product-p270978283.html?spid=270978315,5490000,8490000,4.7,3000000,35,15
"Apple iPad Air (5th Gen) Wi-Fi, 2022 ","""Apple""",https://tiki.vn/product-p184253251.html?spid=168721270,13650000,18990000,5.0,5340000,28,236
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p57809866.html?spid=57809868,1750000,2490000,4.7,740000,30,809
Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,"""Kindle""",https://tiki.vn/product-p201067649.html?spid=252852431,3649000,4100000,5.0,451000,11,102
"Apple iPad 10.9-inch (10th Gen) Wi-Fi, 2022","""Apple""",https://tiki.vn/product-p205815576.html?spid=205815580,10490000,12990000,5.0,2500000,19,60
Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p250109584.html?spid=271046177,3490000,4990000,5.0,1500000,30,14
Điện thoại Samsung Galaxy A04 (3GB/32GB) - Đã kích hoạt bảo hành điện tử -  Hàng chính hãng,"""Samsung""",https://tiki.vn/product-p257682739.html?spid=257682775,1999000,2990000,3.9,991000,33,8
Apple iPhone 14,"""Apple""",https://tiki.vn/product-p197214029.html?spid=197214033,18450000,24990000,5.0,6540000,26,139
Combo máy đọc sách Kindle 2022 (11th) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,"""Kindle""",https://tiki.vn/product-p209927605.html?spid=252075203,2759000,3100000,4.8,341000,11,24
Điện Thoại Oppo Reno 10 5G (8GB/256GB) - Hàng Chính Hãng,"""OPPO""",https://tiki.vn/product-p270875813.html?spid=270875858,9990000,10990000,5.0,1000000,9,10
Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,"""Kindle""",https://tiki.vn/product-p217706932.html?spid=161964625,3490000,3490000,5.0,0,0,121
Điện thoại Nokia C32 (4GB/128GB) - Hàng chính hãng,"""Nokia""",https://tiki.vn/product-p270447782.html?spid=270447788,2790000,3290000,4.6,500000,15,26
Điện thoại Xiaomi Redmi Note 10 JE 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,"""Xiaomi""",https://tiki.vn/product-p230155305.html?spid=230155311,2375000,3990000,4.7,1615000,40,38
"Apple iPad 10.2-inch (9th Gen) Wi-Fi, 2021","""Apple""",https://tiki.vn/product-p183330021.html?spid=124939769,6990000,10990000,5.0,4000000,36,917
Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p250111470.html?spid=250111474,4400000,5790000,4.6,1390000,24,20
Điện thoại Tecno POVA 5 (8+8)/128GB - MediaTek Helio G99 - Sạc nhanh 45W - 6.8'' FHD+120HZ - Hàng Chính Hãng - BH 13 Tháng,"""Tecno""",https://tiki.vn/product-p270814388.html?spid=270814394,3985000,4490000,5.0,505000,11,21
Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,"""Xiaomi""",https://tiki.vn/product-p244308977.html?spid=248172324,2490000,3590000,5.0,1100000,31,27
Điện thoại Xiaomi Redmi Note 10T 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,"""Xiaomi""",https://tiki.vn/product-p230157205.html?spid=230157209,2474000,4190000,4.8,1716000,41,17
Apple iPhone 14 Plus,"""Apple""",https://tiki.vn/product-p197214015.html?spid=197214025,20950000,27990000,5.0,7040000,25,131
Điện Thoại Samsung Galaxy A04e (3GB/32GB)- Hàng Chính Hãng,"""Samsung""",https://tiki.vn/product-p214603586.html?spid=225211053,2025000,2690000,5.0,665000,25,12
Máy đọc sách Boox Page - Hàng Chính Hãng,"""Onyx Boox""",https://tiki.vn/product-p263798932.html?spid=263798960,6700000,7990000,5.0,1290000,16,2
Điện thoại Xiaomi Redmi 10C (4GB/128GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p171897574.html?spid=216003203,2950000,4390000,4.8,1440000,33,61
Điện thoại Xiaomi Redmi A1 (2GB/32GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p198648645.html?spid=198648647,1790000,2490000,4.7,700000,28,36
Điện thoại Mobell M239 4G - 2 SIM - Hàng chính hãng,"""Mobell""",https://tiki.vn/product-p200829966.html?spid=200829993,439000,500000,5.0,61000,12,2
Apple iPhone 15 Pro Max,"""Apple""",https://tiki.vn/product-p271973414.html?spid=271973464,31990000,33490000,5.0,1500000,4,96
Máy đọc sách Boox Palma - Hàng Chính Hãng,"""Onyx Boox""",https://tiki.vn/product-p272222033.html?spid=272222705,7200000,8590000,5.0,1390000,16,4
Điện thoại Samsung Galaxy A05s (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,"""Samsung""",https://tiki.vn/product-p273258825.html?spid=273259163,3090000,3950000,5.0,860000,22,7
Máy tính bảng quản lý thời gian sử dụng dành cho trẻ em Masstel Kidzone-1 đổi 1 trong vòng 100 ngày,"""Masstel""",https://tiki.vn/product-p273684137.html?spid=271521000,1990000,1990000,4.3,0,0,3
Điện Thoại Oppo A78 8GB/256GB - Hàng Chính Hãng ,"""OPPO""",https://tiki.vn/product-p270160350.html?spid=270161020,6590000,6990000,4.8,400000,6,6
Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,"""Kindle""",https://tiki.vn/product-p252586291.html?spid=252586494,3590000,3990000,5.0,400000,10,98
Điện thoại Nokia C30 2GB/32GB - Hàng chính hãng,"""Nokia""",https://tiki.vn/product-p125590981.html?spid=125590983,1550000,1550000,4.8,0,0,35
Điện Thoại Smartphone KXD EL D68 3GB/32GB - Hàng chính hãng,"""Itel""",https://tiki.vn/product-p215902961.html?spid=215902965,1069000,1699000,4.3,630000,37,22
Điện Thoại Samsung A05s 4GB/128GB - Hàng Chính Hãng,"""Samsung""",https://tiki.vn/product-p272348047.html?spid=272348051,3289000,3990000,5.0,701000,18,4
Điện thoại Xiaomi Redmi 12C (3GB/32GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p248590019.html?spid=248590021,2028000,3590000,5.0,1562000,44,8
Apple iPhone 12,"""Apple""",https://tiki.vn/product-p123345348.html?spid=70766425,12650000,16990000,5.0,4340000,26,1272
Apple iPhone 13,"""Apple""",https://tiki.vn/product-p184059211.html?spid=168778791,15490000,24990000,5.0,9500000,38,1820
Điện thoại Xiaomi Redmi Note 12S 4G (8GB/256GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p259542697.html?spid=259542703,4790000,6690000,4.6,1900000,28,17
Điện Thoại Samsung A34 5G 8GB/128GB - Hàng Chính Hãng,"""Samsung""",https://tiki.vn/product-p248762051.html?spid=248762055,5622000,8490000,4.7,2868000,34,7
Điện Thoại Samsung A05 4GB/128GB - Hàng Chính Hãng,"""Samsung""",https://tiki.vn/product-p272328188.html?spid=272328194,2679000,3090000,5.0,411000,13,2
Điện Thoại Samsung A54 5G 8GB/128GB - Hàng Chính Hãng,"""Samsung""",https://tiki.vn/product-p248688169.html?spid=248688173,7169000,10490000,5.0,3321000,32,4
Điện thoại OPPO A55s 5G 4GB/64GB - Màn 90hz - Chống nước IP68 - Hàng nhập khẩu - Bản quốc tế ,"""OPPO""",https://tiki.vn/product-p230203067.html?spid=230203071,2832000,3699000,5.0,867000,23,11
Máy đọc sách Kindle Oasis Edition 3 (8GB) - Hàng chính hãng,"""Kindle""",https://tiki.vn/product-p271218081.html?spid=271218085,5860000,7690000,3.5,1830000,24,2
Điện Thoại Vsmart Bee Lite 2GB/16GB - Hàng Chính Hãng,"""Vsmart""",https://tiki.vn/product-p140184098.html?spid=140184100,940000,1990000,4.5,1050000,53,24
Điện thoại Samsung Galaxy A05s (4Gb/128Gb) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,"""Samsung""",https://tiki.vn/product-p272394241.html?spid=272394250,3390000,3990000,5.0,600000,15,2
Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,"""Vtel""",https://tiki.vn/product-p197905982.html?spid=197905988,301000,399000,4.5,98000,25,15
"Điện thoại ITEL A48 2GB/32GB , 6.1"" HD+ , Camera kép - Hàng Chính Hãng","""OEM""",https://tiki.vn/product-p129167166.html?spid=129167168,1299000,1990000,4.5,691000,35,11
Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng chính hãng,"""Kindle""",https://tiki.vn/product-p214756058.html?spid=214756060,2630000,3190000,4.8,560000,18,70
Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu,"""Kindle""",https://tiki.vn/product-p43924153.html?spid=173476396,5790000,5790000,4.3,0,0,6
Điện thoại Nokia 105 4G - Hàng chính hãng,"""Nokia""",https://tiki.vn/product-p125753291.html?spid=216520079,629000,629000,1.0,0,0,1
Điện Thoại Bàn Panasonic KX-TS500 - Hàng Chính Hãng,"""Panasonic""",https://tiki.vn/product-p4048043.html?spid=26682811,339000,369000,4.5,30000,8,24
Máy tính bảng Xiaomi Pad 6 (8GB/128GB) -  Hàng chính hãng - Đã kích hoạt bảo hành điện tử,"""Xiaomi""",https://tiki.vn/product-p271364652.html?spid=271364656,8790000,9490000,5.0,700000,7,4
 Máy tính bảng Oppo Pad Air (4GB/64GB) - Hàng Chính Hãng,"""OPPO""",https://tiki.vn/product-p195317118.html?spid=195317119,6120000,6999000,5.0,879000,13,11
Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng ,"""OPPO""",https://tiki.vn/product-p270975124.html?spid=270975155,4810000,4990000,5.0,180000,4,2
"Máy đọc sách Kindle Scribe – thế hệ đầu tiên có thể đọc và viết, màn hình 10,2” 300PPI, đèn vàng warmlight, bộ nhớ 16-64GB, đồng bộ dữ liệu qua Microsoft Word - hàng nhập khẩu","""Kindle""",https://tiki.vn/product-p217548686.html?spid=217548688,11390000,11390000,4.0,0,0,1
Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,"""Xiaomi""",https://tiki.vn/product-p273378164.html?spid=273378170,2900000,3490000,0.0,590000,17,0
Máy đọc sách Kobo Libra 2 - hàng nhập khẩu,"""Kobo""",https://tiki.vn/product-p139632023.html?spid=140327945,5250000,5250000,5.0,0,0,4
Điện Thoại Xiaomi Redmi Note 12 8GB/128GB - Hàng Chính Hãng,"""Xiaomi""",https://tiki.vn/product-p272056193.html?spid=272056201,4459000,5790000,4.5,1331000,23,2
Apple iPhone 15 Pro,"""Apple""",https://tiki.vn/product-p271972435.html?spid=271972437,26990000,27990000,4.7,1000000,4,49
Điện thoại Samsung Galaxy M34 5G (8GB/128GB) - Hàng chính hãng,"""Samsung""",https://tiki.vn/product-p272234493.html?spid=272234495,6419000,7990000,0.0,1571000,20,0
Điện Thoại Xiaomi Redmi 10C 4GB/128GB - Hàng Chính Hãng,"""Xiaomi""",https://tiki.vn/product-p179589103.html?spid=179589107,3090000,3599000,5.0,509000,14,7
Điện thoại để bàn Panasonic KX-TS560 hàng chính hãng,"""Panasonic""",https://tiki.vn/product-p16518032.html?spid=49302194,600000,600000,5.0,0,0,2
Điện thoại không dây Panasonic KX-TGC212 - Hàng Chính Hãng,"""Panasonic""",https://tiki.vn/product-p21465183.html?spid=49302206,1650000,1650000,5.0,0,0,1
Điện thoại Panasonic KX-TGF320CX -Hàng chính hãng,"""Panasonic""",https://tiki.vn/product-p118146255.html?spid=118146257,2499000,2499000,0.0,0,0,0
"Apple iPad mini (6th Gen) Wi-Fi, 2021","""Apple""",https://tiki.vn/product-p184248127.html?spid=124944089,11090000,14990000,5.0,3900000,26,164
Điện thoại OPPO Reno10 5G (8GB/256GB) - Hàng Chính Hãng,"""OPPO""",https://tiki.vn/product-p271118390.html?spid=271121058,9390000,10990000,5.0,1600000,15,7
Điện thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,"""OPPO""",https://tiki.vn/product-p271087979.html?spid=271117939,4290000,4990000,4.8,700000,14,4
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,"""Samsung""",https://tiki.vn/product-p249143473.html?spid=249143477,5650000,8490000,5.0,2840000,33,11
Điện thoại Xiaomi Redmi Note 12 Pro 4G (8GB/256GB) - Hàng chính hãng,"""Xiaomi""",https://tiki.vn/product-p258667842.html?spid=258767336,6890000,7990000,4.8,1100000,14,6
Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,"""Samsung""",https://tiki.vn/product-p175845367.html?spid=175845371,7090000,9990000,4.8,2900000,29,213
Máy đọc sách Boox Leaf 2 - Hàng Chính Hãng,"""Onyx Boox""",https://tiki.vn/product-p209389809.html?spid=209389813,5670000,6290000,4.8,620000,10,44
Điện Thoại Itel S23 4GB/128GB | Pin 5000mAh | 6.6 Inch | Camera 50MP | HÀNG CHÍNH HÃNG,"""Itel""",https://tiki.vn/product-p270714226.html?spid=270714230,2090000,2590000,4.5,500000,19,11
Điện thoại Samsung Galaxy M34 5G (8GB/128GB) - Hàng chính hãng,"""Samsung""",https://tiki.vn/product-p272273169.html?spid=272273185,6990000,7990000,0.0,1000000,13,0
Điện Thoại Samsung Galaxy A04s (4GB/64GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,"""Samsung""",https://tiki.vn/product-p198671718.html?spid=198671722,2790000,3990000,5.0,1200000,30,22
Máy tính bảng Masstel Tab 10.4 - Hàng chính hãng,"""Masstel""",https://tiki.vn/product-p273232944.html?spid=273232945,4990000,4990000,0.0,0,0,0
Máy tính bảng Nexta Smart Study 1 - Hàng Chính Hãng ,"""Nexta Smart Study 1""",https://tiki.vn/product-p162355432.html?spid=162355434,5900000,5900000,5.0,0,0,1
Điện thoại Samsung Galaxy Z Flip 5 - Hàng chính hãng,"""Samsung""",https://tiki.vn/product-p270683809.html?spid=270683919,22490000,29990000,5.0,7500000,25,3
Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,"""Kindle""",https://tiki.vn/product-p173387789.html?spid=173387791,5790000,5790000,4.6,0,0,12
Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng ,"""Xiaomi""",https://tiki.vn/product-p250113073.html?spid=250115036,8390000,9490000,4.8,1100000,12,5
Máy Đọc Sách BOOX Tab Mini C - Hàng Chính Hãng,"""Onyx Boox""",https://tiki.vn/product-p270707514.html?spid=270707515,11750000,12990000,0.0,1240000,10,0
